,Filename,fn1,f0,fs,iferror,ifmethod,rho,p,r,g,arfunc,automodel,dq,pq,nramp,causality,f0.1,ifquality,ifwinsize,OQ1,OQ2,NAQ,AQ,ClQ,OQa,QOQ,SQ1,SQ2,DH12,PSP,HRF,Unnamed: 31
13,2.mat,2,59.9967518549518,16000,0.267941642200188,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,59.9967518549518,,3.1199375,0.5566419167390539,0.506236700764373,0.129012762615494,0.0021479009885100003,0.26201144454348396,0.350361384602981,0.304218207463692,1.116646480755511,0.926086550978878,9.60368404636705,0.162318307705624,-4.110179054441713,
14,20.mat,20,190.51131975728526,16000,0.783797130062307,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,190.51131975728526,,2.905,0.560416395365378,0.510816821531824,0.11634390256146099,0.0018516725993850001,0.249172947094585,0.30576599124365805,0.31372518558347995,1.267974374357864,1.0599020442503,9.446107868491962,0.17134249226852,1.945359627821345,
15,21.mat,21,190.41684768818558,16000,2.430953798233065,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,190.41684768818558,,3.1199375,0.5561729098027121,0.505971828406756,0.10001454771107002,0.001591351831261,0.227637828107371,0.297709701659058,0.313593448426725,1.419608399411946,1.199601598041645,10.04233635144066,0.18038780261664103,-0.9589197038933199,
16,22.mat,22,170.8770510868597,16000,46.567170871925754,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,170.8770510868597,,13.77,,,,,,,,,,20.397206351752246,,-2.477442138399687,
17,23.mat,23,212.01260894491284,16000,3.7389897820004916,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,212.01260894491284,,2.98,0.534842483998199,0.484965323961507,0.10176696402659,0.00169693503422,0.23535223582446502,0.28381008667021995,0.29713025298662105,1.30634358726133,1.0962282029426422,11.03720416302909,0.156298976008683,1.830349196761776,
18,24.mat,24,180.0724039236232,16000,6.6211826158833125,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,180.0724039236232,,7.0199375,0.5499122859037889,0.495854788363178,0.10642825480831401,0.0017766297095899999,0.22998402091244602,0.286931104136796,0.306054790368419,1.3483153684368832,1.102690922161653,4.759906856662902,0.164476812228799,6.3481989065277835,
19,25.mat,25,191.15106251481063,16000,12.32618536375535,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,191.15106251481063,,6.1699375,0.570215271184236,0.518542918425166,0.126717785624917,0.002083455255316,0.255942872447236,0.33333727727654,0.32298211997694104,1.2443272902372848,1.009922979676254,2.6973909975030352,0.16927338667591402,2.5451822573037983,
20,26.mat,26,174.50069382996486,16000,3.3196945115051233,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,174.50069382996486,,7.415,0.9997515905500959,0.783606982117417,0.080136967804034,0.00045687312555800003,0.501177924571862,0.23280715533964605,0.638385002198552,1.040670411514582,0.465736509764479,9.689203287661648,0.495361660731923,-7.894341504154473,
21,27.mat,27,194.76033800808943,16000,1.127880110958031,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,194.76033800808943,,2.9949375,,,,,,,,,,22.434439384536876,,-7.433055252607964,
22,28.mat,28,192.0259411427082,16000,2.0930278148481043,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,192.0259411427082,,3.2749375,0.5604217555646429,0.5103650594944951,0.10716861356413002,0.0016959318787429997,0.232297326475827,0.299772288641912,0.316539683302545,1.4242976486432066,1.181676736430865,22.796321655509825,0.181161229247202,2.198267318070406,
23,29.mat,29,206.5309029046292,16000,1.234953236250283,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,206.5309029046292,,3.4499375,0.576088766187599,0.5239786711762829,0.079854346923604,0.0012314772906619998,0.265650626263863,0.226997173740254,0.326775366142322,1.179946011747349,0.938892532219621,11.803569608300574,0.15118413208646,0.8045843026526709,
24,3.mat,3,188.95039210995915,16000,9.839032643289675,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,188.95039210995915,,5.175,1.00020992706945,0.9482357945264108,0.24895992072134498,0.003943430884175999,0.5954106980132049,0.6016231065741661,0.6149562608029361,0.6792804403381569,0.5931287125860379,14.316033211019395,0.37294589824170893,2.662147534641266,
25,30.mat,30,184.10635885583488,16000,4.058547065767793,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,184.10635885583488,,3.3349375,0.564314070755616,0.513993726592615,0.122526539654305,0.001986363158418,0.25508957666991605,0.329707713199057,0.321018413355852,1.239985701728899,1.038761137703153,11.914014495542483,0.175609552862137,0.044451879685638,
