,Filename,fn1,f0,fs,iferror,ifmethod,rho,p,r,g,arfunc,automodel,dq,pq,nramp,causality,f0.1,ifquality,ifwinsize,OQ1,OQ2,NAQ,AQ,ClQ,OQa,QOQ,SQ1,SQ2,DH12,PSP,HRF,Unnamed: 31
18,24.mat,24,251.1884623838825,16000,0.21685330344242001,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,251.1884623838825,,2.3074375,,,,,,,,,,14.066620870066323,,-9.573742247197437,
19,25.mat,25,236.19553224640615,16000,0.251674724439955,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,236.19553224640615,,2.03625,1.001580346784341,0.8386519047103541,0.149801870159254,0.000632110541435,0.779405198501631,0.276708974702414,0.34725051957757397,0.285057308714171,0.07601528232377901,16.453152580350366,0.514958019209207,-9.353415320189564,
20,26.mat,26,259.3297650921604,16000,1.319368878084634,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,259.3297650921604,,5.2365625,,,,,,,,,,19.260114222242585,,-6.661990736412555,
21,27.mat,27,262.54779882758515,16000,0.7246546381151729,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,262.54779882758515,,3.5820625,,,,,,,,,,9.956025513067315,,-4.528181339995394,
22,28.mat,28,241.52189566215472,16000,0.041045765940456,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,241.52189566215472,,1.548,0.7342994162742199,0.577811459957697,0.058328920386307,0.000239087621269,0.34995144485728596,0.142298557207663,0.099249497432704,1.110456573615157,0.42845268202020503,24.193819200200068,0.541841911678137,-11.712095623427148,
23,29.mat,29,254.60389793537442,16000,0.937150814789516,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,254.60389793537442,,4.7755,0.8735593829411991,0.830208617947218,0.011946709674974,4.7936623323e-05,0.7679039078596049,0.021556660279111996,0.036186135542508,0.137589448367427,0.08113607633704699,4.4142550989999885,0.27521136146741604,0.108453184454362,
24,3.mat,3,264.55823189333904,16000,0.20751788482557698,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,264.55823189333904,,9.5773125,1.000829448329663,0.36447272553128,0.057058150355103,0.00021855546819599995,0.266571691254606,0.200727955126289,0.639654997690489,1.195328701485993,0.262106296705595,11.294545743157844,0.789820838443765,-9.734729830717155,
25,30.mat,30,263.58570851926845,16000,0.7684878277887001,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,263.58570851926845,,4.585625,0.6983141148657629,0.407542237440591,0.062780464832109,0.000243528510851,0.262532475155976,0.163130951683903,0.115594925600718,1.3849487112561478,0.574375474627101,12.642661453333831,0.47940560744736105,-3.736613468420806,
26,31.mat,31,267.00548852080004,16000,1.4745992460022157,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,267.00548852080004,,7.5418125,0.660054037951251,0.424242322546511,0.05176506233985599,0.000197260847383,0.098536664846794,0.12603228985622,0.099461840156549,1.19558002399443,0.41967161759109206,19.734047415747405,0.6698618814716178,-6.377848271116982,
27,32.mat,32,129.8833241205742,16000,0.25745318959646696,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,129.8833241205742,,0.842875,,,,,,,,,,13.5288263481178,,-5.161819678713613,
