,AQ_kurt,AQ_max,AQ_mean,AQ_median,AQ_min,AQ_skew,AQ_std,ClQ_kurt,ClQ_max,ClQ_mean,ClQ_median,ClQ_min,ClQ_skew,ClQ_std,DH12,HRF,NAQ_kurt,NAQ_max,NAQ_mean,NAQ_median,NAQ_min,NAQ_skew,NAQ_std,OQ1_kurt,OQ1_max,OQ1_mean,OQ1_median,OQ1_min,OQ1_skew,OQ1_std,OQ2_kurt,OQ2_max,OQ2_mean,OQ2_median,OQ2_min,OQ2_skew,OQ2_std,OQa_kurt,OQa_max,OQa_mean,OQa_median,OQa_min,OQa_skew,OQa_std,PSP,QOQ_kurt,QOQ_max,QOQ_mean,QOQ_median,QOQ_min,QOQ_skew,QOQ_std,SQ1_kurt,SQ1_max,SQ1_mean,SQ1_median,SQ1_min,SQ1_skew,SQ1_std,SQ2_kurt,SQ2_max,SQ2_mean,SQ2_median,SQ2_min,SQ2_skew,SQ2_std,,label
10,12.46646277,0.004069306,0.000905406,0.001006508,2.82E-05,2.151317317,0.000501591,-0.533813495,0.844886026,0.424954774,0.485737456,0.053273731,-0.786095709,0.160138056,21.87200735,-9.401804782,-1.015446449,0.416114828,0.232070487,0.269235621,0.007680075,-0.515061247,0.100257291,0.019668863,1.008357533,0.866512665,0.979659787,0.119275355,-1.130398368,0.189282196,0.041674404,0.958932823,0.772152689,0.861796943,0.070294263,-1.054757347,0.1981985,-0.736898495,0.923098081,0.604150619,0.69179669,0.021067549,-0.685457045,0.229158553,0.490477165,0.743441739,0.674341707,0.434465601,0.479764072,0.039362929,-0.839534716,0.113985322,2.760682196,5.005869737,1.317086107,1.005913387,0.075342349,1.777909477,0.832262811,4.131405646,4.500440641,1.024530894,0.772496811,0,1.961031062,0.698232393,,1
11,-3.163238537,0.003129745,0.001290249,0.000198988,0.000144559,0.636654878,0.001526972,-2.237845997,0.802013285,0.45481327,0.332937929,0.081637909,0.144136392,0.308906984,19.6154028,-7.357831544,-3.041905423,0.182762028,0.094371838,0.046919584,0.034085721,0.630757028,0.072029802,4.410064708,0.994225533,0.815731948,0.931754711,0.28816384,-2.079169809,0.299303326,4.488260791,0.949382316,0.762106116,0.882534893,0.243743844,-2.097209717,0.293538498,-1.428681062,0.494585607,0.222764724,0.128659823,0.063523004,0.863060049,0.190008999,2.868114671,-2.963875591,0.577388897,0.314523676,0.28363483,0.083731232,0.172892539,0.238856393,-2.974015183,2.529779756,1.385899107,1.98621889,0.164420676,-0.427010185,1.102982206,-3.249994182,1.98566984,1.17241951,1.742973758,0.098515953,-0.575445526,0.945829655,,1
12,-2.091024701,0.004959,0.002593954,0.003495181,0.000219041,-0.265739123,0.002080261,-1.432081972,0.615940318,0.39702313,0.438411306,0.101027464,-0.57815,0.206132304,19.02516728,-8.876971238,-1.982217462,0.298395981,0.17505607,0.210314148,0.054346147,-0.162608098,0.101699392,-1.34603997,0.999540733,0.738055794,0.892012674,0.297166497,-0.781151422,0.29449715,-1.379776898,0.950650484,0.659892025,0.842696056,0.163054939,-0.820229284,0.3384663,-1.972129708,0.646431646,0.375627788,0.409693458,0.136419474,0.015225878,0.213648616,1.665103844,-1.944402621,0.613141052,0.372267272,0.455208589,0.073121482,-0.360126069,0.222712109,-0.189925837,2.034588941,1.113085105,1.035733914,0.156495459,0.324722512,0.590403919,1.283353015,1.140794185,0.672683278,0.656717292,0.0760529,-0.465816011,0.291383949,,1
13,,0.00155367,0.000903478,0.001060234,9.65E-05,-0.909233881,0.000741109,,0.746315399,0.42391003,0.487818134,0.037596559,-0.776386539,0.358655521,11.65595974,-9.280015475,,0.273963194,0.161362078,0.18695416,0.02316888,-0.867851531,0.127340736,,0.999794041,0.838549276,0.849214554,0.666639234,-0.286499269,0.166833278,,0.944689988,0.642898829,0.796400828,0.18760567,-1.469676295,0.401206074,,0.603319406,0.378455922,0.503924638,0.028123723,-1.530615445,0.307439941,0.651945048,,0.615772477,0.361980334,0.439292665,0.03087586,-1.082620504,0.30001485,,16.73138966,5.937290765,0.740842531,0.339640107,1.728463877,9.35011599,,3.9899692,1.629450612,0.632577335,0.265805301,1.670035517,2.052478121,,1
14,0.049814836,0.001612936,0.001075496,0.001172387,0.000327922,-0.98210269,0.00025945,2.963687177,0.805407346,0.458625478,0.495326442,0.086123262,-1.731994834,0.123438371,12.73244856,-5.710704023,0.629622049,0.35653954,0.258310909,0.290736205,0.042954556,-1.237071265,0.077079249,7.804913606,1.007723136,0.933319236,0.986025121,0.292412319,-2.901332824,0.142768151,2.676199088,0.960746995,0.81710213,0.875033603,0.223982309,-1.834821349,0.17664761,0.911328691,0.956374564,0.680098421,0.723660653,0.13791519,-1.189005704,0.174226819,0.390248891,1.686630274,0.735624319,0.436511356,0.451361559,0.143823851,-1.130247682,0.095805249,27.90945499,10.64672486,1.278906433,0.966605939,0.243957477,5.079799833,1.237138648,14.91426008,3.599532373,0.872130196,0.790243037,0.182968108,3.42009845,0.421972249,,1
15,-0.307396374,0.001519979,0.000942397,0.000974812,2.48E-05,-0.581542247,0.000284757,0.285078951,0.784279444,0.437981727,0.495933288,0.072852166,-1.082665724,0.142970768,17.56771612,-9.638512973,-0.592685301,0.397751382,0.23339116,0.241319837,0.007187237,-0.43672234,0.075430493,2.759940167,1.007928546,0.923494455,0.992289421,0.219205743,-1.987363784,0.144594091,0.103662244,0.961307032,0.787722824,0.834882643,0.170923493,-0.899653602,0.160279524,0.586421611,1.048700484,0.649360549,0.679210807,0.011324824,-0.781616077,0.175915864,0.452096051,1.240635181,0.74232606,0.431745114,0.452126346,0.055417086,-0.899788073,0.097011252,11.05130191,10.02607045,1.420767472,0.981031478,0.284445881,2.849179542,1.086501017,6.996481339,5.321624627,1.038544465,0.769409199,0.068031509,2.645719315,0.892449845,,1
16,,3.13E-05,3.13E-05,3.13E-05,3.13E-05,,,,0.609973042,0.609973042,0.609973042,0.609973042,,,22.28223154,-11.8347881,,0.007645456,0.007645456,0.007645456,0.007645456,,,,1.006859674,1.006859674,1.006859674,1.006859674,,,,0.671032524,0.671032524,0.671032524,0.671032524,,,,0.020774837,0.020774837,0.020774837,0.020774837,,,3.659691385,,0.045193435,0.045193435,0.045193435,0.045193435,,,,0.650662578,0.650662578,0.650662578,0.650662578,,,,0.100101935,0.100101935,0.100101935,0.100101935,,,,1
17,1.68187216,0.001449757,0.001139861,0.001206783,0.000390683,-1.323905799,0.000271532,3.09537974,0.715004266,0.503269038,0.50216566,0.408801695,1.274227952,0.069352085,28.67355817,-12.58914706,1.68187216,0.373826781,0.293918589,0.311174727,0.100739448,-1.323905799,0.0700158,2.892913479,1.007528813,0.971162348,0.996557365,0.841091884,-1.774359982,0.04628632,1.866120243,0.959098744,0.895423208,0.915242226,0.685210317,-1.685691902,0.085078304,1.791574276,0.852840516,0.68760954,0.730498848,0.349734634,-1.459175174,0.130071345,1.037547816,5.66689973,0.710999979,0.484028348,0.486245895,0.395639214,1.74253296,0.067758527,1.005683386,1.382228744,0.959102884,0.949290377,0.332798306,-0.507163986,0.243203739,0.187655402,1.222092947,0.800675119,0.830450191,0.270475445,-0.350343793,0.232779843,,1
18,,7.82E-05,7.82E-05,7.82E-05,7.82E-05,,,,0.160655076,0.160655076,0.160655076,0.160655076,,,12.19463775,-9.108338922,,0.018827395,0.018827395,0.018827395,0.018827395,,,,0.326222717,0.326222717,0.326222717,0.326222717,,,,0.281067905,0.281067905,0.281067905,0.281067905,,,,0.037307476,0.037307476,0.037307476,0.037307476,,,1.238090638,,0.044188469,0.044188469,0.044188469,0.044188469,,,,1.030578339,1.030578339,1.030578339,1.030578339,,,,0.749511519,0.749511519,0.749511519,0.749511519,,,,1
19,2.171689355,0.001287256,0.000760527,0.000760949,5.03E-05,-0.540491601,0.000237684,14.93547522,1.10259414,0.418249721,0.38488396,0.091292287,2.859810376,0.113970275,8.971830109,-8.671124257,2.171689355,0.306306987,0.180969863,0.181070395,0.011975119,-0.540491601,0.056557689,14.6957342,1.176954571,0.940890363,0.994579676,0.170173879,-3.570990302,0.139742878,2.365624801,1.132338313,0.664746638,0.643835013,0.121036459,0.167310879,0.14812638,2.138135572,0.873435835,0.550721927,0.578661735,0.031917749,-1.477210503,0.168863651,0.242780809,4.603435654,0.60695527,0.359614983,0.362963228,0.055858625,-1.309844382,0.0870219,0.876704216,2.124013764,1.327602365,1.529663843,0.067441344,-1.273268266,0.445995818,1.340462868,1.132634262,0.607154952,0.622867127,0,-0.848106569,0.211994681,,1
